"","period","country_ID","country_no","CAB","GDPPC_PPP","invest","gov_debt","openness","demand","x_price","gov_deficit","credit","GDP_gr"
"44",1992,"AUS",2,-3.264,19643.873,22.735,27.1514375,0.329391137,0.038925973,0.525097549,-2.688267598,61.9003591,2.652
"45",1993,"AUS",2,-2.998,20714.406,23.927,30.32178002,0.317472383,0.032130662,0.572330952,-0.694343433,63.30149996,3.95
"46",1994,"AUS",2,-4.472,21973.066,25.55,31.45285015,0.327638373,0.06493683,0.621581554,-0.194390279,66.75499523,4.888
"47",1995,"AUS",2,-4.925,22805.853,25.395,30.88935175,0.333219931,0.03067366,0.660052955,0.835181846,69.80091746,2.955
"48",1996,"AUS",2,-3.392,23941.961,25.005,29.11389627,0.339991361,0.037029555,0.689303458,1.834529662,71.48474154,4.298
"49",1997,"AUS",2,-2.843,25119.285,24.4,25.78715814,0.347918287,0.055328385,0.66131705,2.591860455,75.31994819,4.164
"50",1998,"AUS",2,-4.698,26349.03,26.26,23.70447809,0.332605422,0.054827389,0.60883683,2.72201878,79.17987067,4.866
"51",1999,"AUS",2,-5.297,27572.59,26.302,22.52483073,0.328269407,0.044180401,0.594328463,3.803714898,84.26208317,4.243
"52",2000,"AUS",2,-3.927,28733.521,24.991,19.45846782,0.365572423,0.000967661,0.555827796,1.286329653,87.78555019,3.087
"53",2001,"AUS",2,-2.079,29763.338,23.511,17.04078989,0.34438844,0.043854438,0.555905998,1.704885635,88.62555599,2.574
"54",2002,"AUS",2,-3.71,31077.005,25.242,14.95391723,0.355584458,0.057976591,0.549822867,2.797476952,91.57531444,3.997
"55",2003,"AUS",2,-5.386,32289.023,26.764,13.15098595,0.355521679,0.064609294,0.609410167,2.47919175,99.40838722,3.021
"56",2004,"AUS",2,-6.261,34139.076,27.169,11.8900167,0.409501985,0.048579828,0.649891078,2.57511382,102.9109572,4.036
"57",2005,"AUS",2,-5.919,35894.567,27.885,10.82824091,0.45133245,0.039429649,0.642345071,2.957683061,108.8049547,3.214
"58",2006,"AUS",2,-5.801,37397.801,27.306,10.00768966,0.484390393,0.049179053,0.693582058,2.57933376,113.7855774,2.655
"59",2007,"AUS",2,-6.705,39386.325,28.636,9.713655626,0.500656202,0.060251,0.747933209,2.764266103,120.732976,4.52
"60",2008,"AUS",2,-4.965,40349.415,28.95,11.75971473,0.573946714,0.003025968,0.870572209,-1.964134377,121.8380854,2.671
"61",2009,"AUS",2,-4.678,40559.466,27.683,16.81077837,0.535918027,0.023902343,0.747607231,-3.713955189,122.8353078,1.575
"62",2010,"AUS",2,-3.567,41397.837,27.135,20.51402686,0.54319185,0.03758581,0.992450476,-3.40152,126.0268027,2.25
"63",1980,"CAN",3,-2.23,11678.985,22.639,45.63178663,0.574813932,0.008292032,0.431926161,1.35055,70.91815162,2.163
"64",1981,"CAN",3,-4.099,13049.445,25.419,46.93289036,0.563413352,0.028822983,0.469461977,3.42191,83.67506725,3.503
"65",1982,"CAN",3,0.589,13280.622,19.998,52.66845731,0.501938134,-0.063850247,0.475900114,0.191124,81.09240329,-3.02
"66",1983,"CAN",3,-0.741,14017.716,20.311,58.40257225,0.512130022,0.039441365,0.487907618,-0.912768,75.92779363,2.566
"67",1984,"CAN",3,-0.367,15179.7,21.127,61.67393649,0.578158349,0.050186005,0.479851872,0.042261,75.490487,5.572
"68",1985,"CAN",3,-1.609,16248.264,21.724,66.86944356,0.566494673,0.054740326,0.471934199,-0.231824,76.69211617,4.679
"69",1986,"CAN",3,-3.024,16774.973,21.872,70.99854407,0.50750339,0.032936614,0.545611739,1.29102,77.59779758,2.198
"70",1987,"CAN",3,-3.196,17674.504,22.388,71.44908373,0.467732653,0.050234105,0.583715618,2.85751,78.7226525,4.042
"71",1988,"CAN",3,-3.035,18906.617,23.66,71.08355166,0.483537778,0.055103135,0.658942282,3.95274,80.68392757,4.738
"72",1989,"CAN",3,-3.947,19765.987,23.757,72.24708709,0.487731159,0.041455252,0.648479521,4.26468,85.48375737,2.375
"73",1990,"CAN",3,-3.433,20213.459,21.448,75.18991177,0.511171222,-0.003967514,0.650015771,3.62586,89.44717653,0.129
"74",1991,"CAN",3,-3.765,20184.294,19.475,82.33953488,0.485312939,-0.018850496,0.725063741,1.0606,92.27444531,-2.12
"75",1992,"CAN",3,-3.65,20573.063,18.507,90.2315555,0.573008001,0.004820398,0.594885349,0.187443,94.10818828,0.854
"76",1993,"CAN",3,-3.88,21364.774,18.609,96.323764,0.60428825,0.014791083,0.626906335,0.480896,92.78836235,2.607
"77",1994,"CAN",3,-2.408,22570.056,19.647,97.96179137,0.624023259,0.032465836,0.671870887,2.32373,91.34040357,4.554
"78",1995,"CAN",3,-0.86,23426.672,19.505,101.6010098,0.628830105,0.017647984,0.717972398,4.23802,90.40224445,2.738
"79",1996,"CAN",3,0.387,24003.18,19.036,101.7192758,0.634472311,0.012740152,0.731119633,6.3168,95.22171804,1.68
"80",1997,"CAN",3,-1.38,25198.891,21.346,96.31791266,0.698604703,0.060717609,0.699684978,8.57281,99.18602226,4.253
"81",1998,"CAN",3,-1.397,26300.71,21.128,95.16455677,0.724262208,0.024988417,0.657644093,8.3326,97.74933367,4.138
"82",1999,"CAN",3,0.117,27813.136,20.808,91.36915092,0.737987995,0.042154711,0.648541331,9.25094,97.29149719,4.997
"83",2000,"CAN",3,2.512,29629.732,20.759,82.12687063,0.800000966,0.046778713,0.636509836,10.05,93.79392551,5.123
"84",2001,"CAN",3,2.139,30494.182,19.835,82.65914473,0.774624825,0.012856942,0.615610242,7.26602,174.0978958,1.688
"85",2002,"CAN",3,1.665,31487.181,19.95,80.55399187,0.780812353,0.032304125,0.60904032,5.72406,169.064876,2.802
"86",2003,"CAN",3,1.15,32429.806,20.643,76.56183156,0.745127499,0.04476307,0.654587686,5.30748,162.9146886,1.925
"87",2004,"CAN",3,2.281,34047.138,21.556,72.60071609,0.770637393,0.04072183,0.711382568,5.80623,165.6502966,3.139
"88",2005,"CAN",3,1.853,35912.098,22.816,71.60815085,0.823973775,0.049024349,0.714374006,6.10535,173.519522,3.163
"89",2006,"CAN",3,1.368,37605.517,23.763,70.25527353,0.863675565,0.044213357,0.736499846,5.9118,189.4250475,2.622
"90",2007,"CAN",3,0.779,38999.006,23.95,66.51826079,0.832872361,0.039036642,0.800058424,5.73187,124.4613929,2.008
"91",2008,"CAN",3,0.116,39806.197,24.019,71.28346445,0.861971438,0.028330024,0.871052504,4.01,124.9320898,1.175
"92",2009,"CAN",3,-2.92,38576.461,21.778,81.28017297,0.70162642,-0.027274442,0.793950498,-1.07019,NA,-2.711
"93",2010,"CAN",3,-3.513,39916.624,23.339,83.1092577,0.769934386,0.051806611,0.877512038,-1.84869,NA,3.374
"94",1980,"CHL",4,-6.868,3436.382,NA,29.5888,0.285427481,0.089122939,0.584633231,6.23169,46.85330894,7.945
"95",1981,"CHL",4,-13.928,3925.453,24.532,19.0272,0.287224337,0.117297593,0.563792348,2.97964,53.15155131,6.212
"96",1982,"CHL",4,-9.093,3544.612,13.477,33.9579,0.23332499,-0.217148628,0.482022345,-0.46792,84.0907288,-13.588
"97",1983,"CHL",4,-5.427,3524.631,12.036,71.4269,0.232524924,-0.070128764,0.491156757,-1.38102,75.29938277,-2.802
"98",1984,"CHL",4,-10.548,3804.333,15.803,117.486,0.250037864,0.089200473,0.446451277,-1.51241,82.39757582,5.886
"99",1985,"CHL",4,-8.234,3941.954,19.303,165.546,0.240377389,-0.037328082,0.431490332,-0.238536,69.32351593,1.968
"100",1986,"CHL",4,-6.458,4172.245,20.935,164.955,0.220954597,0.048916087,0.486446917,0.742549,62.69888737,5.596
"101",1987,"CHL",4,-3.378,4481.958,24.234,147.047,0.240030289,0.100136107,0.53153187,3.68253,57.40917885,6.581
"102",1988,"CHL",4,-0.902,4892.862,24.877,113.247,0.265412465,0.077496861,0.568373203,11.633,52.62877095,7.288
"103",1989,"CHL",4,-2.338,5528.802,27.25,82.6764,0.29546158,0.135832707,0.589813054,13.0942,48.86528151,10.605
"104",1990,"CHL",4,-1.474,5846.67,27.25,77.1557,0.30390428,0.029119023,0.588705361,8.33864,45.30622926,3.671
"105",1991,"CHL",4,-0.261,6403.064,24.929,66.5652,0.272693545,0.061097193,0.665347397,2.43052,42.64295229,7.945
"106",1992,"CHL",4,-2.08,7217.822,26.213,54.4441,0.3171051,0.148684334,0.563529491,3.57874,45.20579305,12.209
"107",1993,"CHL",4,-5.181,7763.143,28.838,47.4207,0.303548068,0.105561945,0.581519723,3.45655,49.23933471,6.926
"108",1994,"CHL",4,-2.788,8233.64,26.689,41.0422,0.302725077,0.055097771,0.607138157,4.42081,48.0743421,5.666
"109",1995,"CHL",4,-1.836,9129.93,28.513,31.8986,0.336032212,0.152495426,0.663631141,5.79806,49.70928379,10.487
"110",1996,"CHL",4,-3.968,9843.364,27.695,26.8037,0.328344956,0.078530559,0.691534936,3.53424,54.10177205,7.357
"111",1997,"CHL",4,-4.314,10528.641,27.543,26.3245,0.378367379,0.072673968,0.663679361,3.35235,67.23204058,6.606
"112",1998,"CHL",4,-4.806,10843.579,26.902,25.1403,0.354526848,0.037171822,0.615809023,1.62437,66.93472523,3.267
"113",1999,"CHL",4,0.132,10787.194,20.85,19.16454286,0.356047735,-0.056275341,0.602968454,-0.826297,70.2514805,-0.709
"114",2000,"CHL",4,-1.151,11375.593,21.941,13.18878571,0.414417654,0.058222728,0.570173323,0.500761,69.8026034,4.469
"115",2001,"CHL",4,-1.543,11889.361,22.208,14.39364587,0.43185772,0.023962012,0.55676651,0.682765,72.25336272,3.342
"116",2002,"CHL",4,-0.827,12257.82,22.033,15.08536174,0.39800486,0.024107628,0.567305923,-0.053002,73.6237621,2.17
"117",2003,"CHL",4,-1.089,12787.285,21.886,12.64045556,0.432086274,0.048096888,0.629771471,0.717929,74.53383169,3.387
"118",2004,"CHL",4,2.617,13888.312,20.28,10.29294709,0.509025842,0.081359439,0.671481431,3.08631,75.56669002,6.797
"119",2005,"CHL",4,1.537,15084.652,21.973,6.996603531,0.566317588,0.113202065,0.693965673,5.56342,76.33080422,6.305
"120",2006,"CHL",4,4.599,16285.682,20.678,4.994221808,0.61879766,0.079286402,0.727877855,8.54343,77.6936644,5.825
"121",2007,"CHL",4,4.09,17405.471,20.558,3.890186494,0.649837732,0.072739513,0.804138958,8.96106,83.82487596,5.207
"122",2008,"CHL",4,-3.229,18120.956,25.936,4.919819891,0.679149479,0.082873372,0.755040228,4.84282,100.1401374,3.234
"123",2009,"CHL",4,2.045,17866.612,20.367,5.834224863,0.560177341,-0.056865296,0.721326351,-3.84173,102.3722397,-1.033
"124",2010,"CHL",4,1.735,18910.72,22.338,8.599158701,0.607024074,0.146890795,0.898195386,0.206054,99.25708201,5.74
"125",1980,"DNK",5,-3.358,11528.764,20.124,27.12120253,0.698785722,-0.034353242,0.564623177,1.42743,39.4186861,-0.484
"126",1981,"DNK",5,-3.03,12517.618,17.014,36.51768116,0.739266217,-0.03481029,0.517071426,-0.841727,37.81659244,-0.658
"127",1982,"DNK",5,-3.738,13795.89,18.271,47.92720403,0.708806872,0.036675013,0.49581936,-2.55413,36.55247809,3.675
"128",1983,"DNK",5,-2.278,14721.193,18.364,54.16666667,0.714763105,0.01604281,0.481294543,1.33277,38.58814726,2.601
"129",1984,"DNK",5,-2.906,15892.424,20.603,63.55734513,0.749519318,0.050563847,0.455470413,5.46788,41.02066005,4.168
"130",1985,"DNK",5,-4.414,17060.611,22.1,68.39349593,0.797547996,0.055329446,0.441061586,7.95479,43.83523346,4.001
"131",1986,"DNK",5,-5.096,18239.777,23.785,66.21381381,0.804173112,0.080154609,0.494980037,11.6206,54.81001368,4.905
"132",1987,"DNK",5,-2.743,18721.638,22.022,60.58171429,0.816697598,-0.014326593,0.544017851,10.3004,49.73553438,0.254
"133",1988,"DNK",5,-1.159,19357.086,21.057,57.14535519,0.822564155,-0.015903032,0.587275088,8.90132,48.07673272,-0.016
"134",1989,"DNK",5,-0.994,20238.32,21.323,56.58396349,0.806187719,0.005564139,0.601259708,7.37618,50.99024883,0.649
"135",1990,"DNK",5,0.992,21272.301,20.798,57.68998748,0.925232023,-0.000508254,0.624853671,5.27415,50.38614327,1.471
"136",1991,"DNK",5,1.424,22239.223,19.612,58.83949275,0.8784554,0.000712731,0.670112252,3.59084,41.94707995,1.396
"137",1992,"DNK",5,2.745,23121.168,18.94,63.84218566,0.999514133,0.019153538,0.615892708,3.34747,39.40253107,1.958
"138",1993,"DNK",5,3.374,23588.5,17.378,66.99461627,0.933329761,-0.008555959,0.620686769,2.78995,34.29660151,0.008
"139",1994,"DNK",5,2.042,25296.86,18.734,66.13409326,0.956633866,0.067653351,0.633805633,2.72973,30.26715706,5.332
"140",1995,"DNK",5,1.002,26510.402,20.686,68.72210109,1.022286326,0.044551831,0.682827652,2.97554,30.34573013,3.033
"141",1996,"DNK",5,1.647,27589.073,20.064,69.23421301,0.988079935,0.024697644,0.702289999,3.64978,30.99124744,2.895
"142",1997,"DNK",5,1.313,28845.001,22.062,65.33630425,0.98197028,0.046729706,0.670349836,4.42059,31.51211862,3.264
"143",1998,"DNK",5,-0.149,29693.53,22.655,61.43839548,0.977289766,0.037054399,0.627929568,4.47235,34.32054498,2.218
"144",1999,"DNK",5,2.529,30926.754,20.888,58.07611706,0.945227832,-0.006122206,0.617985249,5.40177,34.08070987,2.946
"145",2000,"DNK",5,1.989,32715.816,22.352,52.40733127,0.952311277,0.031460842,0.574935257,5.85155,131.968435,3.752
"146",2001,"DNK",5,3.646,33615.455,21.825,49.55746845,0.996583194,0.000165403,0.560556769,4.60344,138.8300331,0.822
"147",2002,"DNK",5,2.999,34168.558,21.689,49.46533823,1.057764709,0.016649232,0.568253517,3.43941,141.6030678,0.467
"148",2003,"DNK",5,3.931,34886.661,20.922,47.20983744,1.128830254,0.001701735,0.622772753,2.78056,147.8151747,0.388
"149",2004,"DNK",5,3.48,36696.749,21.837,45.13081613,1.195732594,0.043107738,0.652880967,4.45348,154.0538565,2.642
"150",2005,"DNK",5,4.259,38699.639,22.167,37.75792635,1.270197034,0.034481705,0.663067102,7.09947,167.3102487,2.431
"151",2006,"DNK",5,3.153,41282.108,24.494,32.07477788,1.322016358,0.0517729,0.691272318,6.81307,180.04425,3.8
"152",2007,"DNK",5,1.384,42574.73,25.366,27.13052362,1.345640302,0.023062468,0.76793462,6.38089,197.3787763,0.821
"153",2008,"DNK",5,2.669,42874.229,24.082,33.37628454,1.375170171,-0.008818303,0.854890466,4.67969,210.9745114,-0.713
"154",2009,"DNK",5,3.32,40736.088,18.892,40.67630152,1.185664892,-0.065883845,0.801318765,-0.89348,217.4184787,-5.089
"155",2010,"DNK",5,5.729,41726.124,18.417,42.74726935,1.18864584,0.0133989,0.810258269,-0.888445,211.3272239,1.622
"156",1980,"HUN",6,-4.809,6288.217,32.598,NA,0.37347661,-0.006002029,0.505190909,NA,NA,0.215
"157",1981,"HUN",6,-5.827,7075.089,31.222,NA,0.37423864,0.014482717,0.511566103,NA,NA,2.867
"158",1982,"HUN",6,-2.219,7735.313,30.026,87.3018,0.359783977,-0.000958095,0.492166102,NA,NA,2.841
"159",1983,"HUN",6,-0.833,8116.445,27.796,84.9011,0.37053664,-0.016804981,0.447177887,NA,NA,0.723
"160",1984,"HUN",6,0.185,8653.254,26.75,85.5903,0.388965696,0.002520848,0.41074422,NA,NA,2.658
"161",1985,"HUN",6,-2.134,8942.557,25.928,96.4301,0.413677752,0.004327878,0.4065561,NA,NA,-0.253
"162",1986,"HUN",6,-5.558,9297.039,28.245,104.648,0.401548862,0.039311868,0.445813537,NA,NA,1.535
"163",1987,"HUN",6,-2.504,9968.387,28.271,112.755,0.351338863,0.032050356,0.486926168,NA,NA,4.051
"164",1988,"HUN",6,-1.937,10355.035,26.652,101.824,0.327445462,-0.028167378,0.53837043,NA,NA,-0.065
"165",1989,"HUN",6,-1.95,10881.309,27.704,101.329,0.310711503,0.009542899,0.552388847,NA,NA,0.736
"166",1990,"HUN",6,1.108,10937.897,26.666,117.244,0.304188237,-0.030891219,0.556854665,6.52055,NA,-3.497
"167",1991,"HUN",6,1.167,9959.531,22.372,127.635,0.369483754,-0.090556336,0.612591386,2.00132,37.88878156,-11.892
"168",1992,"HUN",6,0.914,9873.978,18.021,119.576,0.435380742,-0.031757011,0.557136118,-2.26042,32.32616622,-3.064
"169",1993,"HUN",6,-10.683,10058.987,22.271,107.2640705,0.407446489,0.10119986,0.573381186,-4.69438,27.4843407,-0.576
"170",1994,"HUN",6,-9.447,10591.2,24.37,94.952141,0.422127545,0.017645825,0.583148539,-1.86826,25.64570394,2.947
"171",1995,"HUN",6,-3.548,11101.114,23.191,82.6402115,0.567661166,-0.052282561,0.647069693,0.121285,21.8286651,2.541
"172",1996,"HUN",6,-3.799,11325.083,24.867,70.3492015,0.61870262,-0.007909776,0.66132611,4.74947,21.45702297,0.034
"173",1997,"HUN",6,-4.349,11930.571,26.331,61.70967962,0.716482818,0.036025003,0.650868714,2.96527,23.62975406,3.372
"174",1998,"HUN",6,-7.004,12593.244,28.875,59.846539,0.832212716,0.073625088,0.635504127,-0.440638,23.45311543,4.208
"175",1999,"HUN",6,-7.683,13234.758,27.44,60.88992524,0.859225482,0.040539791,0.63239187,1.56445,25.56621345,3.238
"176",2000,"HUN",6,-8.514,14152.654,28.318,55.69545147,0.940196216,0.034795003,0.587653518,2.27677,31.9578163,4.24
"177",2001,"HUN",6,-5.873,15048.25,26.378,52.58876396,0.968410641,0.018493342,0.576619983,0.640086,32.77502223,3.735
"178",2002,"HUN",6,-6.325,16004.71,25.773,55.72612455,0.992140085,0.065685666,0.583121598,-4.92576,34.48204944,4.491
"179",2003,"HUN",6,-8.041,16995.73,24.715,58.50994299,1.109538794,0.058786705,0.64206183,-3.14439,42.10448147,3.778
"180",2004,"HUN",6,-8.58,18344.687,26.984,59.43923294,1.295887053,0.046923076,0.686714768,-2.02298,45.38951829,4.789
"181",2005,"HUN",6,-7.035,19778.596,25.374,61.68742131,1.367655396,0.013732323,0.687062144,-3.77063,50.53098566,4.26
"182",2006,"HUN",6,-7.049,21238.406,25.682,65.9088897,1.524550021,0.015867441,0.718482077,-5.45599,54.77185895,3.963
"183",2007,"HUN",6,-7.129,21938.974,24.176,67.04892617,1.761430681,-0.014364101,0.784687459,-0.942599,61.44720632,0.511
"184",2008,"HUN",6,-7.094,22613.045,24.683,72.97656038,1.844547629,0.006965983,0.843833804,0.459401,68.7536077,0.879
"185",2009,"HUN",6,-0.811,21321.851,20.275,79.79315146,1.526223183,-0.105327556,0.783846974,0.126016,68.04119613,-6.551
"186",2010,"HUN",6,0.281,21789.596,20.638,81.83910838,1.737584293,-0.004966332,0.768520355,-0.133197,68.25849745,0.789
"187",1980,"ISR",7,-3.702,6990.405,20.412,NA,0.559461087,-0.038436994,0.443560392,-8.95077,70.80667222,3.568
"188",1981,"ISR",7,-5.421,7947.184,19.12,NA,0.533188969,0.073786543,0.448068678,-9.97095,61.88947984,4.723
"189",1982,"ISR",7,-8.374,8409.544,21.694,NA,0.51661776,0.055582101,0.44566521,-2.73867,68.61750477,1.424
"190",1983,"ISR",7,-7.878,8781.043,22.582,260.4568924,0.500412881,0.060490012,0.449326962,-0.971639,71.12540925,2.586
"191",1984,"ISR",7,-5.525,9175.223,20.657,283.9573935,0.537526265,-0.041314755,0.425036401,-5.51505,81.66632018,2.21
"192",1985,"ISR",7,3.745,9717.618,17.465,198.987447,0.529227331,-0.008841637,0.437068522,1.74279,59.96236904,4.451
"193",1986,"ISR",7,3.929,10108.399,17.94,162.4667617,0.492539525,0.085155288,0.490632534,6.89934,52.65071117,3.551
"194",1987,"ISR",7,-3.614,10964.078,17.834,143.2264721,0.517790273,0.09800143,0.538468301,5.98034,56.03127166,7.49
"195",1988,"ISR",7,-1.726,11559.683,17.693,145.3565375,0.504878342,0.029018834,0.589107752,6.89707,58.02077643,3.564
"196",1989,"ISR",7,0.436,11973.413,17.082,147.4115001,0.538019955,-0.01734781,0.596874714,-1.93591,57.87182609,1.419
"197",1990,"ISR",7,0.292,12836.407,19.092,138.2521353,0.573185682,0.092785718,0.593152225,-2.14177,57.59815474,6.633
"198",1991,"ISR",7,-1.939,13066.107,24.799,123.6577191,0.51095286,0.131995196,0.659682572,2.91161,55.96267247,4.618
"199",1992,"ISR",7,-1.186,13825.009,24.804,119.6294844,0.578228265,0.061211959,0.593844295,-2.62338,58.17565505,7.155
"200",1993,"ISR",7,-3.365,14309.394,24.999,118.3033956,0.603824317,0.063047768,0.607142329,-0.841073,65.28145814,3.771
"201",1994,"ISR",7,-4.051,15245.368,24.384,110.1848328,0.614507869,0.075914719,0.627561271,0.066882,68.62029959,7.011
"202",1995,"ISR",7,-4.949,16612.794,25.537,102.1999969,0.63509123,0.067944252,0.68614924,2.08563,64.04789405,9.654
"203",1996,"ISR",7,-4.859,17514.697,25.508,100.0999985,0.633008137,0.059797244,0.696857154,-0.188434,65.53692703,6.157
"204",1997,"ISR",7,-3.132,18090.582,24.526,99.40000153,0.653270602,0.021541129,0.661593795,1.15244,68.12148095,4.082
"205",1998,"ISR",7,-0.993,18605.122,22.784,100.9000015,0.624046415,0.026919076,0.627031565,1.45063,72.70916144,4.252
"206",1999,"ISR",7,-1.294,19114.974,23.338,94.80000305,0.661600441,0.041341783,0.622823834,2.58828,75.73884681,3.737
"207",2000,"ISR",7,-1.485,20727.216,22.554,84.40000153,0.742952615,0.056312135,0.583326578,4.48308,76.76971732,8.942
"208",2001,"ISR",7,-1.448,20754.07,22.191,88.90000153,0.6957964,0.022011725,0.576930642,1.76498,84.94868011,0.242
"209",2002,"ISR",7,-0.868,20640.625,20.465,96.59999847,0.689044327,-0.003512419,0.581412435,0.014384,89.76496964,-0.068
"210",2003,"ISR",7,0.602,20916.311,19.232,95.56664372,0.696076065,-0.016605644,0.629278243,-0.019779,85.65991304,1.177
